CMDLINE /home/group461/gergoPriv/myenv/bin/python3 exp_memory_profiler.py
MEM 0.250000 1714559125.2207
MEM 15.500000 1714559125.3210
MEM 22.000000 1714559125.4213
MEM 27.750000 1714559125.5215
MEM 32.867188 1714559125.6218
MEM 39.867188 1714559125.7220
MEM 42.117188 1714559125.8223
MEM 49.867188 1714559125.9227
MEM 56.617188 1714559126.0230
MEM 89.617188 1714559126.1233
MEM 100.367188 1714559126.2237
MEM 105.867188 1714559126.3241
MEM 113.003906 1714559126.4246
MEM 115.753906 1714559126.5250
MEM 119.003906 1714559126.6255
MEM 130.503906 1714559126.7259
MEM 136.503906 1714559126.8264
MEM 139.503906 1714559126.9266
MEM 144.003906 1714559127.0269
MEM 148.253906 1714559127.1271
MEM 152.253906 1714559127.2273
MEM 154.003906 1714559127.3276
MEM 156.253906 1714559127.4278
MEM 156.253906 1714559127.5281
MEM 158.753906 1714559127.6283
MEM 161.503906 1714559127.7286
MEM 162.003906 1714559127.8288
MEM 265.753906 1714559127.9291
MEM 406.253906 1714559128.0296
MEM 472.753906 1714559128.1299
MEM 559.753906 1714559128.2302
MEM 601.753906 1714559128.3304
MEM 736.003906 1714559128.4307
MEM 827.503906 1714559128.5313
MEM 854.003906 1714559128.6318
MEM 857.753906 1714559128.7323
MEM 878.503906 1714559128.8328
MEM 932.003906 1714559128.9332
MEM 1008.503906 1714559129.0336
MEM 1066.484375 1714559129.1342
MEM 1002.796875 1714559129.2347
MEM 968.679688 1714559129.3351
MEM 984.367188 1714559129.4356
MEM 847.824219 1714559129.5361
MEM 858.394531 1714559129.6366
MEM 816.113281 1714559129.7370
MEM 826.113281 1714559129.8373
MEM 823.933594 1714559129.9376
MEM 806.597656 1714559130.0378
MEM 822.296875 1714559130.1381
MEM 683.792969 1714559130.2384
MEM 699.246094 1714559130.3387
MEM 773.496094 1714559130.4391
MEM 802.484375 1714559130.5395
MEM 837.234375 1714559130.6399
MEM 890.484375 1714559130.7402
MEM 987.984375 1714559130.8406
MEM 1086.984375 1714559130.9410
MEM 1134.234375 1714559131.0412
MEM 1172.984375 1714559131.1416
MEM 1210.984375 1714559131.2420
MEM 1247.984375 1714559131.3423
MEM 1291.410156 1714559131.4427
MEM 1321.910156 1714559131.5429
MEM 1336.156250 1714559131.6434
MEM 1368.406250 1714559131.7438
MEM 1366.078125 1714559131.8440
MEM 1369.078125 1714559131.9444
MEM 1306.320312 1714559132.0447
MEM 1309.820312 1714559132.1450
MEM 1322.820312 1714559132.2452
MEM 1069.320312 1714559132.3455
MEM 1079.070312 1714559132.4457
MEM 1091.570312 1714559132.5460
MEM 1091.570312 1714559132.6462
MEM 1103.820312 1714559132.7465
MEM 1116.570312 1714559132.8467
MEM 1119.570312 1714559132.9469
MEM 1127.070312 1714559133.0472
MEM 1140.070312 1714559133.1474
MEM 1153.070312 1714559133.2477
MEM 1153.570312 1714559133.3479
MEM 1161.320312 1714559133.4482
MEM 1174.320312 1714559133.5484
MEM 1187.070312 1714559133.6487
MEM 1197.070312 1714559133.7489
MEM 1197.070312 1714559133.8491
MEM 1203.320312 1714559133.9494
MEM 1216.070312 1714559134.0496
MEM 1229.070312 1714559134.1499
MEM 1241.820312 1714559134.2501
MEM 1250.570312 1714559134.3504
MEM 1250.570312 1714559134.4506
MEM 1256.820312 1714559134.5508
MEM 1269.570312 1714559134.6511
MEM 1282.570312 1714559134.7513
MEM 1295.320312 1714559134.8516
MEM 1308.320312 1714559134.9518
MEM 1317.070312 1714559135.0520
MEM 1317.070312 1714559135.1523
MEM 1319.070312 1714559135.2525
MEM 1331.820312 1714559135.3528
MEM 1344.570312 1714559135.4530
MEM 1357.570312 1714559135.5533
MEM 1370.320312 1714559135.6535
MEM 1383.070312 1714559135.7538
MEM 1396.070312 1714559135.8540
MEM 1403.070312 1714559135.9543
MEM 1403.070312 1714559136.0545
MEM 1403.070312 1714559136.1547
MEM 1413.570312 1714559136.2550
MEM 1426.320312 1714559136.3552
MEM 1439.070312 1714559136.4555
MEM 1452.070312 1714559136.5557
MEM 1465.070312 1714559136.6559
MEM 1477.820312 1714559136.7562
MEM 1490.570312 1714559136.8564
MEM 1503.570312 1714559136.9566
MEM 1512.320312 1714559137.0569
MEM 1512.320312 1714559137.1571
MEM 1512.320312 1714559137.2574
MEM 1514.070312 1714559137.3576
MEM 1526.820312 1714559137.4579
MEM 1539.820312 1714559137.5581
MEM 1552.570312 1714559137.6583
MEM 1565.320312 1714559137.7586
MEM 1578.320312 1714559137.8588
MEM 1591.070312 1714559137.9591
MEM 1603.820312 1714559138.0593
MEM 1616.570312 1714559138.1599
MEM 1629.570312 1714559138.2605
MEM 1642.320312 1714559138.3610
MEM 1648.320312 1714559138.4615
MEM 1648.320312 1714559138.5619
MEM 1648.320312 1714559138.6624
MEM 1648.320312 1714559138.7628
MEM 1654.570312 1714559138.8632
MEM 1667.570312 1714559138.9637
MEM 1680.070312 1714559139.0641
MEM 1693.070312 1714559139.1645
MEM 1705.820312 1714559139.2650
MEM 1719.070312 1714559139.3654
MEM 1731.570312 1714559139.4658
MEM 1744.570312 1714559139.5662
MEM 1757.570312 1714559139.6667
MEM 1770.570312 1714559139.7671
MEM 1783.320312 1714559139.8675
MEM 1796.070312 1714559139.9679
MEM 1808.820312 1714559140.0684
MEM 1815.070312 1714559140.1688
MEM 1815.070312 1714559140.2692
MEM 1815.070312 1714559140.3697
MEM 1815.070312 1714559140.4701
MEM 1815.070312 1714559140.5708
MEM 1826.570312 1714559140.6713
MEM 1839.320312 1714559140.7717
MEM 1852.070312 1714559140.8721
MEM 1865.070312 1714559140.9725
MEM 1870.070312 1714559141.0730
MEM 1857.410156 1714559141.1734
MEM 1705.410156 1714559141.2739
MEM 1556.269531 1714559141.3743
MEM 1580.035156 1714559141.4748
MEM 1589.035156 1714559141.5752
MEM 1589.035156 1714559141.6757
MEM 1589.285156 1714559141.7762
MEM 1589.285156 1714559141.8766
MEM 1589.285156 1714559141.9771
MEM 1589.535156 1714559142.0775
MEM 1589.535156 1714559142.1779
MEM 1589.535156 1714559142.2784
MEM 1589.785156 1714559142.3789
MEM 1589.785156 1714559142.4793
MEM 1589.785156 1714559142.5798
MEM 1589.785156 1714559142.6802
MEM 1589.785156 1714559142.7807
MEM 1579.957031 1714559142.8811
MEM 1547.660156 1714559142.9816
MEM 1451.066406 1714559143.0821
MEM 1342.105469 1714559143.1825
MEM 1286.531250 1714559143.2830
MEM 1270.390625 1714559143.3834
